epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,train_precision,val_precision,train_recall,val_recall,train_pixel_accuracy,val_pixel_accuracy,lr
1,0.532307,0.493921,0.019297,0.004837,0.009985,0.002427,0.164824,0.975677,0.03136,0.002428,0.979712,0.995881,0.0001
2,0.4901,0.48022,0.121625,0.315858,0.067081,0.190155,0.469628,0.813576,0.074478,0.197898,0.994026,0.996559,9.997557473810373e-05
3,0.475413,0.471911,0.318274,0.470868,0.194579,0.309679,0.615938,0.417982,0.256122,0.546493,0.993923,0.995047,9.990232305719946e-05
4,0.460651,0.462357,0.395744,0.483398,0.251789,0.32096,0.411746,0.424602,0.43131,0.567052,0.992169,0.995154,9.978031724785248e-05
5,0.447522,0.442566,0.438329,0.495819,0.2844,0.33148,0.427419,0.435367,0.49302,0.582637,0.992528,0.995244,9.960967771506668e-05
6,0.437599,0.434353,0.43785,0.489655,0.28541,0.325716,0.415406,0.403354,0.505691,0.629159,0.992341,0.994784,9.939057285945934e-05
7,0.428708,0.419254,0.454854,0.491541,0.299447,0.327338,0.419016,0.393441,0.547535,0.662233,0.992407,0.994537,9.912321891107012e-05
8,0.417428,0.412071,0.48899,0.490028,0.329453,0.325859,0.437637,0.378945,0.599608,0.701208,0.992604,0.994196,9.880787971596802e-05
9,0.408662,0.402498,0.504277,0.511431,0.342171,0.345108,0.45551,0.429175,0.609269,0.640897,0.992854,0.995105,9.844486647586726e-05
10,0.401333,0.396433,0.496214,0.526514,0.333742,0.358915,0.438466,0.43115,0.609621,0.682978,0.992805,0.99514,9.80345374410087e-05
11,0.390761,0.384381,0.516813,0.564809,0.35494,0.395884,0.45566,0.506216,0.646582,0.644915,0.993172,0.996095,9.757729755661012e-05
12,0.380201,0.373803,0.554211,0.569782,0.388191,0.400062,0.490494,0.480139,0.655758,0.709302,0.994009,0.99578,9.70735980632342e-05
13,0.372799,0.358811,0.554703,0.576905,0.38968,0.40747,0.503942,0.491216,0.643243,0.705957,0.994398,0.995944,9.652393605146848e-05
14,0.361852,0.34805,0.560044,0.535257,0.395559,0.366975,0.515079,0.411738,0.654453,0.773717,0.994459,0.994632,9.650036840343393e-05
15,0.351861,0.329352,0.579028,0.611282,0.415863,0.442818,0.548025,0.583487,0.652671,0.647865,0.994679,0.996742,9.642968871775348e-05
16,0.335298,0.310063,0.597479,0.592707,0.434727,0.423476,0.581674,0.514861,0.651512,0.706174,0.995274,0.99618,9.63119667467437e-05
17,0.323469,0.299799,0.601165,0.581837,0.437518,0.412399,0.593718,0.488307,0.63659,0.727919,0.995433,0.995882,9.61473186677772e-05
18,0.308856,0.289225,0.61687,0.611316,0.454852,0.442799,0.617875,0.641721,0.640668,0.588569,0.995659,0.997019,9.59359069686297e-05
19,0.29824,0.273919,0.600949,0.613165,0.441057,0.445214,0.619027,0.64878,0.614342,0.586753,0.995601,0.997085,9.567794028712424e-05
20,0.286474,0.266585,0.613837,0.601589,0.455092,0.4329,0.638466,0.619754,0.618604,0.589628,0.995753,0.996903,9.537367320523076e-05
